Relevance	Session	Course	Level	Timestamp Start	Timestamp End	Description
Convention formation	14	3	1	3:34	3:45	Players develop and establish shared naming conventions for objects and actions (like using a light bridge to "catch" a player or object).
Metonymy	10	1	2	1:06	1:10	Players use metonymic references as shorthand (like "orange" instead of "orange portal").
Spatial reference	11	1	4	1:26	1:46	Players must pragmatically negotiate speaker reference frames when making and resolving spatial references like "keep going left".
On-the-fly abstraction	1	1	4	4:17	4:54	Players use ad-hoc abstractions to refer to complex sequences of actions (e.g., "do the same trick" to refer to a sequence of actions).
Clarification request (closed-class)	3	1	3	9:46	9:55	Players construct subdialogues to seek and provide clarification multimodally.
Clarification request (open-class)	11	3	1	3:56	4:02	A player can infer the necessity for clarification based on minimal information from their interlocutor (e.g., hesitation and saying "Uh." suffices).
Multimodal grounding	10	1	6	3:57	4:04	Players can use in-game actions like shooting the portal to gesture at objects in conjunction with deictic utterances.
Metonymy and spatial reference	14	3	3	3:44	4:20	Players use metonymy and spatial references to refer to objects and actions in the game world.
